ordobs,a,b,tolerance,noise
3,-2,-2,0.3,0.3
2,-2,-2,0.3,0.3
2,-2,-2,0.3,0.3
3,-2,-2,0.3,0.3
2,-2,-2,0.3,0.3
2,-2,-2,0.3,0.3
1,-2,-2,0.3,0.3
2,-2,-2,0.3,0.3
2,-2,-2,0.3,0.3
2,-2,-2,0.3,0.3
2,-2,-2,0.3,0.3
2,-2,-2,0.3,0.3
3,-2,-2,0.3,0.3
2,-2,-2,0.3,0.3
3,-2,-2,0.3,0.3
1,-2,-2,0.3,0.3
2,-2,-2,0.3,0.3
2,-2,-2,0.3,0.3
2,-2,-2,0.3,0.3
2,-2,-2,0.3,0.3
2,-2,-2,0.3,0.3
1,-2,-2,0.3,0.3
3,-2,-2,0.3,0.3
2,-2,-2,0.3,0.3
3,-2,-2,0.3,0.3
2,-2,-2,0.3,0.3
3,-2,-2,0.3,0.3
2,-2,-2,0.3,0.3
2,-2,-2,0.3,0.3
1,-2,-2,0.3,0.3
2,-2,-2,0.3,0.3
1,-2,-2,0.3,0.3
2,-2,-2,0.3,0.3
1,-2,-2,0.3,0.3
2,-2,-2,0.3,0.3
2,-2,-2,0.3,0.3
3,-2,-2,0.3,0.3
2,-2,-2,0.3,0.3
2,-2,-2,0.3,0.3
2,-2,-2,0.3,0.3
2,-2,-2,0.3,0.3
2,-2,-2,0.3,0.3
3,-2,-2,0.3,0.3
3,-2,-2,0.3,0.3
1,-2,-2,0.3,0.3
2,-2,-2,0.3,0.3
2,-2,-2,0.3,0.3
2,-2,-2,0.3,0.3
2,-2,-2,0.3,0.3
2,-2,-2,0.3,0.3
2,-2,-1.75,0.3,0.3
3,-2,-1.75,0.3,0.3
2,-2,-1.75,0.3,0.3
2,-2,-1.75,0.3,0.3
2,-2,-1.75,0.3,0.3
2,-2,-1.75,0.3,0.3
1,-2,-1.75,0.3,0.3
2,-2,-1.75,0.3,0.3
2,-2,-1.75,0.3,0.3
1,-2,-1.75,0.3,0.3
1,-2,-1.75,0.3,0.3
2,-2,-1.75,0.3,0.3
2,-2,-1.75,0.3,0.3
1,-2,-1.75,0.3,0.3
1,-2,-1.75,0.3,0.3
1,-2,-1.75,0.3,0.3
2,-2,-1.75,0.3,0.3
2,-2,-1.75,0.3,0.3
1,-2,-1.75,0.3,0.3
2,-2,-1.75,0.3,0.3
1,-2,-1.75,0.3,0.3
1,-2,-1.75,0.3,0.3
1,-2,-1.75,0.3,0.3
1,-2,-1.75,0.3,0.3
1,-2,-1.75,0.3,0.3
2,-2,-1.75,0.3,0.3
2,-2,-1.75,0.3,0.3
2,-2,-1.75,0.3,0.3
2,-2,-1.75,0.3,0.3
2,-2,-1.75,0.3,0.3
2,-2,-1.75,0.3,0.3
1,-2,-1.75,0.3,0.3
2,-2,-1.75,0.3,0.3
2,-2,-1.75,0.3,0.3
1,-2,-1.75,0.3,0.3
2,-2,-1.75,0.3,0.3
1,-2,-1.75,0.3,0.3
1,-2,-1.75,0.3,0.3
2,-2,-1.75,0.3,0.3
2,-2,-1.75,0.3,0.3
2,-2,-1.75,0.3,0.3
1,-2,-1.75,0.3,0.3
2,-2,-1.75,0.3,0.3
1,-2,-1.75,0.3,0.3
1,-2,-1.75,0.3,0.3
1,-2,-1.75,0.3,0.3
2,-2,-1.75,0.3,0.3
2,-2,-1.75,0.3,0.3
2,-2,-1.75,0.3,0.3
2,-2,-1.75,0.3,0.3
1,-2,-1.5,0.3,0.3
1,-2,-1.5,0.3,0.3
1,-2,-1.5,0.3,0.3
2,-2,-1.5,0.3,0.3
1,-2,-1.5,0.3,0.3
2,-2,-1.5,0.3,0.3
1,-2,-1.5,0.3,0.3
2,-2,-1.5,0.3,0.3
