"","trial","opt1","opt2","feature","obs"
"1",2,1,2,2,1.58741354370853
"2",3,2,3,1,0.0476941115335278
"3",4,2,3,2,-0.720860019429015
"4",5,1,3,1,-0.729111316453098
"5",6,1,2,1,-0.368113203092375
"6",7,1,2,2,0.822852423583383
"7",8,2,3,1,0.526577741866327
"8",9,2,3,1,-0.139908873689231
"9",10,1,2,2,1.62222165020652
"10",2,1,3,1,-0.479564047370232
"11",3,2,3,2,-0.0627701161561981
"12",4,1,2,2,1.53906081489133
"13",5,2,3,2,-0.0231924459670868
"14",6,2,3,1,1.12735437374942
"15",7,1,3,1,-0.665417993622493
"16",8,1,2,2,0.885377628824958
"17",9,2,3,2,0.0171409671837337
"18",10,1,3,2,0.745797746715024
"19",2,1,3,2,2.01289767565293
"20",3,1,3,2,0.727407978812586
"21",4,1,3,1,-0.0588135303020014
"22",5,2,3,1,0.382896431816868
"23",6,1,2,2,1.4957306425221
"24",7,1,3,2,0.640943584975671
"25",8,1,3,1,-1.22356852919714
"26",9,1,3,2,0.272594583918115
"27",10,1,3,1,-1.39555867582494
"28",2,2,3,1,0.169453951357603
"29",3,1,3,1,-0.688148789919395
"30",4,2,3,1,0.15092776689998
"31",5,1,2,2,1.00865472678699
"32",6,1,3,2,-0.0931488518695153
"33",7,1,2,1,-1.8021311096835
"34",8,2,3,2,-0.455476547217024
"35",9,1,3,1,-0.573117323363947
"36",10,1,2,1,-1.08045594431965
"37",2,1,2,1,-1.73107535779791
"38",3,1,2,2,1.99636733587525
"39",4,1,3,2,-0.522487464257841
"40",5,1,2,1,-1.1995321680253
"41",7,2,3,1,-0.443511209695158
"42",8,2,3,2,-0.554426257848743
"43",9,2,3,2,-0.0914600395069138
"44",1,1,2,2,1.75954111307198
"45",2,1,2,2,1.36827922932842
"46",3,1,3,1,-0.800420984854712
"47",4,1,3,1,0.235861304996283
"48",5,1,2,1,0.00665807117447104
"49",6,1,3,1,-0.366594462257235
"50",7,2,3,2,0.315719396963638
"51",8,2,3,1,0.634160463587935
"52",9,2,3,1,1.20776810154617
"53",10,1,3,1,-0.743447907520803
"54",1,1,2,1,-1.09892263595182
"55",2,1,2,2,0.890939270008911
"56",3,1,2,1,-1.06062303804597
"57",4,1,3,2,0.679796568505933
"58",5,1,3,2,0.172708923348013
"59",6,1,3,2,0.535078650055256
"60",7,2,3,2,-0.549039075176537
"61",8,2,3,2,-0.163151215939981
"62",9,1,2,1,-0.666894478105216
"63",10,1,3,2,1.13905442182534
