"","timestep","trial","opt1","opt2","feature","obs"
"1",1,1,1,2,2,1.70450220031275
"2",1,2,1,3,2,1.78741354370853
"3",1,3,1,2,1,-1.45230588846647
"4",1,4,1,3,1,-0.120860019429015
"5",1,5,1,2,1,-0.929111316453098
"6",1,6,2,3,2,-0.168113203092375
"7",1,7,1,2,2,0.822852423583383
"8",1,8,2,3,2,-0.473422258133673
"9",1,9,1,3,1,-1.13990887368923
"10",1,10,2,3,1,0.822221650206524
"11",2,2,1,2,1,-0.679564047370232
"12",2,3,2,3,2,-0.0627701161561981
"13",2,4,1,2,2,1.53906081489133
"14",2,5,2,3,2,-0.0231924459670868
"15",2,6,1,3,1,0.127354373749423
"16",2,7,1,3,1,-0.665417993622493
"17",2,8,1,3,2,0.385377628824958
"18",2,9,2,3,2,0.0171409671837337
"19",2,10,1,2,2,0.945797746715023
"20",3,1,1,3,1,0.617463804769289
"21",3,2,1,2,2,1.81289767565293
"22",3,3,2,3,1,0.727407978812586
"23",3,4,1,3,2,0.341186469697999
"24",3,5,2,3,1,0.382896431816868
"25",3,6,1,2,2,1.4957306425221
"26",3,7,1,3,2,0.640943584975671
"27",3,8,1,3,1,-1.22356852919714
"28",3,9,2,3,1,0.872594583918115
"29",3,10,1,2,1,-1.59555867582494
"30",4,2,1,3,1,-0.830546048642397
"31",4,3,1,2,2,0.811851210080605
"32",4,5,1,3,2,0.808654726786994
"33",4,6,2,3,1,0.906851148130485
"34",4,7,2,3,1,-0.602131109683495
"35",4,8,2,3,1,0.544523452782976
"36",4,9,1,3,2,-0.173117323363947
"37",4,10,2,3,2,-0.280455944319647
"38",5,2,1,3,2,0.468924642202091
"39",5,3,1,2,1,-0.00363266412474528
"40",5,4,1,2,1,-1.72248746425784
"41",5,5,1,2,2,0.800467831974697
"42",5,6,1,2,2,0.588745418993002
"43",5,7,1,3,2,0.556488790304842
"44",5,8,2,3,2,-0.554426257848743
"45",5,9,2,3,1,1.50853996049309
"46",6,2,1,3,1,-0.431720770671582
"47",6,3,1,3,2,0.199579015145288
"48",6,4,2,3,2,-0.364138695003717
"49",6,5,1,2,2,2.00665807117447
"50",6,6,1,2,1,-1.56659446225723
"51",6,7,1,3,1,-0.684280603036362
"52",6,8,2,3,1,0.634160463587935
"53",6,9,2,3,1,1.20776810154617
"54",6,10,2,3,2,-0.143447907520803
"55",7,1,1,2,2,0.90107736404818
"56",7,2,1,3,2,1.09093927000891
"57",7,3,1,2,2,0.939376961954028
"58",7,4,2,3,1,1.27979656850593
"59",7,5,1,3,1,-1.42729107665199
"60",7,6,1,2,1,-0.664921349944744
"61",7,7,1,3,2,0.450960924823463
"62",7,8,1,2,1,-0.663151215939981
"63",7,9,1,2,2,1.33310552189478
