"viewstate","value_choose1","value_choose2","value_choose3","view_obs11","view_obs12","view_obs21","view_obs22","view_obs31","view_obs32"
"NA NA:NA NA:NA NA",9.63029805946734,9.8901762625324,10.1653903459372,"med NA:NA NA:NA NA_low NA:NA NA:NA NA_high NA:NA NA:NA NA|0.19, 0.422, 0.388","NA med:NA NA:NA NA_NA low:NA NA:NA NA_NA high:NA NA:NA NA|0.69, 0.144, 0.166","low NA:NA NA:NA NA_high NA:NA NA:NA NA_med NA:NA NA:NA NA|0.4, 0.39, 0.21","NA med:NA NA:NA NA_NA high:NA NA:NA NA_NA low:NA NA:NA NA|0.718, 0.14, 0.142","low NA:NA NA:NA NA_high NA:NA NA:NA NA_med NA:NA NA:NA NA|0.386, 0.402, 0.212","NA high:NA NA:NA NA_NA med:NA NA:NA NA_NA low:NA NA:NA NA|0.192, 0.652, 0.156"
"med NA:NA NA:NA NA",9.92652996578572,9.12964325040037,9.97004796037299,"NA|1","med med:NA NA:NA NA_med high:NA NA:NA NA_med low:NA NA:NA NA|0.657258064516129, 0.173387096774194, 0.169354838709677","low NA:med NA:NA NA_med NA:high NA:NA NA_med NA:med NA:NA NA|0.520161290322581, 0.407258064516129, 0.0725806451612903","med NA:NA med:NA NA_med NA:NA high:NA NA_med NA:NA low:NA NA|0.717741935483871, 0.149193548387097, 0.133064516129032","low NA:med NA:NA NA_med NA:high NA:NA NA_med NA:med NA:NA NA|0.415322580645161, 0.423387096774194, 0.161290322580645","med NA:NA high:NA NA_med NA:NA med:NA NA_med NA:NA low:NA NA|0.181451612903226, 0.657258064516129, 0.161290322580645"
"med med:NA NA:NA NA",9.86986708807087,9.09104933033939,9.28470565241625,"NA|1","NA|1","low NA:med med:NA NA_med med:high NA:NA NA_med med:med NA:NA NA_med NA:med med:NA NA|0.514970059880239, 0.389221556886228, 0.0538922155688623, 0.0419161676646707","med med:NA med:NA NA_med med:NA high:NA NA_med med:NA low:NA NA|0.712574850299401, 0.155688622754491, 0.131736526946108","low NA:med med:NA NA_med med:high NA:NA NA_med med:med NA:NA NA_med NA:med med:NA NA|0.419161676646707, 0.401197604790419, 0.0838323353293413, 0.0958083832335329","med med:NA high:NA NA_med med:NA low:NA NA_med med:NA med:NA NA|0.191616766467066, 0.209580838323353, 0.598802395209581"
"low NA:med med:NA NA",3.77262534091349,9.96127845656757,10.1168201788674,"NA|1","low med:med med:NA NA_low low:med med:NA NA_low high:med med:NA NA|0.703389830508475, 0.144067796610169, 0.152542372881356","NA|1","NA|1","low NA:low NA:med med_low NA:med med:high NA_low NA:med med:med NA_low NA:med NA:med med|0.322033898305085, 0.474576271186441, 0.11864406779661, 0.0847457627118644","low NA:med med:NA high_low NA:med med:NA med_low NA:med med:NA low|0.169491525423729, 0.61864406779661, 0.211864406779661"
"low med:med med:NA NA",3.45918938171093,9.80738227456109,9.57514134528454,"NA|1","NA|1","NA|1","NA|1","low med:low NA:med med_low med:med med:high NA_low NA:low med:med med_low med:med NA:med med_low med:med med:med NA|0.244444444444444, 0.455555555555556, 0.133333333333333, 0.0888888888888889, 0.0777777777777778","low med:med med:NA high_low med:med med:NA low_low med:med med:NA med|0.188888888888889, 0.244444444444444, 0.566666666666667"
"low med:low NA:med med",2.66218501107132,6.02972832277264,9.50636453327045,"NA|1","NA|1","NA|1","low med:low high:med med_low med:low med:med med_low med:low low:med med|0.275862068965517, 0.586206896551724, 0.137931034482759","NA|1","NA|1"
"low med:low high:med med",3.36566726443515,8.19407108808338,10.0795415127488,"NA|1","NA|1","NA|1","NA|1","NA|1","NA|1"
"low med:med med:NA high",2.92546262850594,9.72019855388031,11.6527878611769,"NA|1","NA|1","NA|1","NA|1","low med:low high:med med_low med:med high:med med_low med:med med:high high_low high:low med:med med_low med:med med:med high|0.470588235294118, 0.176470588235294, 0.176470588235294, 0.0588235294117647, 0.117647058823529","NA|1"
"low NA:low NA:med med",2.542213223314,6.01239783631039,10.0115674471036,"NA|1","low med:low NA:med med_low low:low NA:med med_low high:low NA:med med|0.763157894736842, 0.131578947368421, 0.105263157894737","NA|1","low NA:low high:med med_low NA:low med:med med_low NA:low low:med med|0.315789473684211, 0.578947368421053, 0.105263157894737","NA|1","NA|1"
"low NA:low high:med med",3.17755743549526,8.11454299876973,10.0768590377198,"NA|1","low med:low high:med med_low low:low high:med med_low high:low high:med med|0.666666666666667, 0.0833333333333333, 0.25","NA|1","NA|1","NA|1","NA|1"
"low NA:med med:NA high",3.5371513782625,10.1537522370639,12.7175118645584,"NA|1","low med:med med:NA high_low low:med med:NA high_low high:med med:NA high|0.708333333333333, 0.125, 0.166666666666667","NA|1","NA|1","low NA:low high:med med_low NA:med med:high high_low NA:med high:med med_low high:low NA:med med_low NA:med med:med high|0.375, 0.25, 0.125, 0.166666666666667, 0.0833333333333333","NA|1"
"med med:NA med:NA NA",9.82723539089389,9.02494331476287,9.35337111269981,"NA|1","NA|1","low med:med med:NA NA_med med:high med:NA NA_med med:med med:NA NA|0.516556291390728, 0.390728476821192, 0.0927152317880795","NA|1","low NA:med med:NA med_med NA:med med:NA med_med med:high NA:NA med_med med:med NA:NA med|0.403973509933775, 0.119205298013245, 0.390728476821192, 0.0860927152317881","med med:NA med:NA high_med med:NA med:NA low_med med:NA low:NA med_med med:NA med:NA med|0.245033112582781, 0.145695364238411, 0.112582781456954, 0.496688741721854"
"low NA:med med:NA med",4.04356384096513,9.9031103385143,9.97442807723307,"NA|1","low high:med med:NA med_low low:med med:NA med_low med:med med:NA med|0.192771084337349, 0.192771084337349, 0.614457831325301","NA|1","NA|1","low med:low NA:med med_low NA:med med:high med_low NA:low med:med med_low NA:med med:med med|0.228915662650602, 0.433734939759036, 0.180722891566265, 0.156626506024096","NA|1"
"low high:med med:NA med",7.33690585230208,10.1103890215943,8.09151122300659,"NA|1","NA|1","NA|1","NA|1","low med:low high:med med_low high:med med:high med_low high:med med:med med_low high:low med:med med|0.5, 0.3125, 0.125, 0.0625","NA|1"
"med med:NA med:NA high",9.80601344836071,9.24050396970021,13.5290307733006,"NA|1","NA|1","low med:med med:NA high_med med:high med:NA high_med med:med med:NA high|0.459459459459459, 0.432432432432432, 0.108108108108108","NA|1","low high:med med:NA med_med high:med med:NA med_med med:high high:NA med_med med:med high:NA med|0.432432432432432, 0.189189189189189, 0.216216216216216, 0.162162162162162","NA|1"
"med med:NA high:NA NA",9.87590203081182,14.6254877456692,8.51923943964449,"NA|1","NA|1","low high:med med:NA NA_med high:med med:NA NA_med med:high high:NA NA_med med:med high:NA NA|0.418181818181818, 0.163636363636364, 0.309090909090909, 0.109090909090909","NA|1","low NA:med med:NA high_med med:high NA:NA high_med med:med NA:NA high_med NA:med med:NA high|0.436363636363636, 0.418181818181818, 0.109090909090909, 0.0363636363636364","med med:NA med:NA high_med med:NA high:NA low_med med:NA low:NA high_med med:NA high:NA high|0.672727272727273, 0.0727272727272727, 0.127272727272727, 0.127272727272727"
"low high:med med:NA NA",7.40678501400027,10.1060306736329,7.65972750289313,"NA|1","NA|1","NA|1","NA|1","low NA:low high:med med_low high:med med:med NA_low high:med med:high NA_low high:low NA:med med|0.5, 0.166666666666667, 0.291666666666667, 0.0416666666666667","low high:med med:NA med_low high:med med:NA low_low high:med med:NA high|0.666666666666667, 0.166666666666667, 0.166666666666667"
"low NA:med NA:NA NA",3.9780134970291,9.97608191596505,10.8704561928708,"NA|1","low med:med NA:NA NA_low low:med NA:NA NA_low high:med NA:NA NA|0.6875, 0.136363636363636, 0.176136363636364","NA|1","low NA:med med:NA NA_low NA:med low:NA NA_low NA:med high:NA NA|0.659090909090909, 0.170454545454545, 0.170454545454545","low NA:low NA:med NA_low NA:med NA:high NA_low NA:med NA:med NA|0.318181818181818, 0.522727272727273, 0.159090909090909","low NA:med NA:NA high_low NA:med NA:NA med_low NA:med NA:NA low|0.147727272727273, 0.681818181818182, 0.170454545454545"
"low med:med NA:NA NA",3.57525539528584,9.64910547824177,10.4372005754937,"NA|1","NA|1","NA|1","low med:med med:NA NA_low med:med low:NA NA_low med:med high:NA NA|0.661654135338346, 0.180451127819549, 0.157894736842105","low med:low NA:med NA_low med:med NA:high NA_low NA:low med:med NA_low med:med NA:med NA|0.233082706766917, 0.488721804511278, 0.142857142857143, 0.135338345864662","low med:med NA:NA high_low med:med NA:NA med_low med:med NA:NA low|0.18796992481203, 0.631578947368421, 0.180451127819549"
"low med:low NA:med NA",2.78116962277039,6.00011852642105,8.950548039501,"NA|1","NA|1","NA|1","low med:low high:med NA_low med:low med:med NA_low med:low low:med NA|0.232558139534884, 0.651162790697674, 0.116279069767442","NA|1","low med:low NA:med med_low med:low NA:med low_low med:low NA:med high|0.674418604651163, 0.209302325581395, 0.116279069767442"
"low med:low high:med NA",2.7821771115952,8.42553854494366,8.69393776771231,"NA|1","NA|1","NA|1","NA|1","NA|1","low med:low high:med med_low med:low high:med low|0.8, 0.2"
"low med:med NA:NA high",3.4307765769453,8.78621550883863,12.3569879109079,"NA|1","NA|1","NA|1","low med:med med:NA high_low med:med low:NA high_low med:med high:NA high|0.653846153846154, 0.230769230769231, 0.115384615384615","low med:low high:med NA_low med:med NA:med high_low high:low med:med NA_low med:med high:med NA_low med:med NA:high high|0.384615384615385, 0.115384615384615, 0.115384615384615, 0.192307692307692, 0.192307692307692","NA|1"
"low NA:low NA:med NA",2.86678116708223,5.98305185699433,9.58701547069508,"NA|1","low med:low NA:med NA_low low:low NA:med NA_low high:low NA:med NA|0.767857142857143, 0.107142857142857, 0.125","NA|1","low NA:low high:med NA_low NA:low med:med NA_low NA:low low:med NA|0.267857142857143, 0.625, 0.107142857142857","NA|1","low NA:low NA:med med_low NA:low NA:med low_low NA:low NA:med high|0.678571428571429, 0.178571428571429, 0.142857142857143"
"low NA:low high:med NA",3.16339704744897,8.44915820145695,9.40249683528578,"NA|1","low med:low high:med NA_low low:low high:med NA_low high:low high:med NA|0.666666666666667, 0.0666666666666667, 0.266666666666667","NA|1","NA|1","NA|1","low NA:low high:med med_low NA:low high:med high_low NA:low high:med low|0.8, 0.0666666666666667, 0.133333333333333"
"low NA:med NA:NA high",3.84242438559738,9.64294638049281,13.2722640332885,"NA|1","low med:med NA:NA high_low low:med NA:NA high_low high:med NA:NA high|0.742857142857143, 0.0857142857142857, 0.171428571428571","NA|1","low NA:med med:NA high_low NA:med low:NA high_low NA:med high:NA high|0.685714285714286, 0.171428571428571, 0.142857142857143","low NA:low high:med NA_low NA:med NA:med high_low high:low NA:med NA_low NA:med NA:high high_low NA:med high:med NA|0.342857142857143, 0.0857142857142857, 0.171428571428571, 0.257142857142857, 0.142857142857143","NA|1"
"med NA:NA med:NA NA",9.8371601921697,9.1835655208166,9.72256959469022,"NA|1","med med:NA med:NA NA_med high:NA med:NA NA_med low:NA med:NA NA|0.629464285714286, 0.178571428571429, 0.191964285714286","low med:med NA:NA NA_med NA:high med:NA NA_med med:med NA:NA NA_med NA:med med:NA NA|0.504464285714286, 0.392857142857143, 0.0446428571428571, 0.0580357142857143","NA|1","low NA:med NA:NA med_med NA:high NA:NA med_med NA:med NA:NA med|0.433035714285714, 0.415178571428571, 0.151785714285714","med NA:NA med:NA high_med NA:NA med:NA med_med NA:NA med:NA low_med NA:NA low:NA med|0.245535714285714, 0.549107142857143, 0.111607142857143, 0.09375"
"low NA:med NA:NA med",4.12415841223041,9.88567125898185,10.6104979849948,"NA|1","low high:med NA:NA med_low med:med NA:NA med_low low:med NA:NA med|0.201438848920863, 0.647482014388489, 0.151079136690647","NA|1","low NA:med med:NA med_low NA:med low:NA med_low NA:med high:NA med|0.597122302158273, 0.20863309352518, 0.194244604316547","low med:low NA:med NA_low NA:med NA:high med_low NA:low med:med NA_low NA:med med:med NA_low NA:med NA:med med|0.194244604316547, 0.467625899280576, 0.165467625899281, 0.079136690647482, 0.0935251798561151","NA|1"
"low high:med NA:NA med",7.08581806640131,10.4274902414641,9.29967664136824,"NA|1","NA|1","NA|1","low high:med med:NA med_low high:med low:NA med_low high:med high:NA med|0.571428571428571, 0.214285714285714, 0.214285714285714","low med:low high:med NA_low high:med med:med NA_low high:low med:med NA_low high:med NA:high med_low high:med NA:med med|0.357142857142857, 0.0714285714285714, 0.107142857142857, 0.392857142857143, 0.0714285714285714","NA|1"
"med NA:NA med:NA high",9.69514775435688,9.78606869667846,13.3530073895974,"NA|1","med med:NA med:NA high_med low:NA med:NA high_med high:NA med:NA high|0.60655737704918, 0.213114754098361, 0.180327868852459","low med:med NA:NA high_med NA:high med:NA high_med med:med NA:NA high_med NA:med med:NA high|0.426229508196721, 0.442622950819672, 0.0655737704918033, 0.0655737704918033","NA|1","low high:med NA:NA med_med high:med NA:NA med_med NA:high high:NA med_med NA:med high:NA med|0.459016393442623, 0.163934426229508, 0.245901639344262, 0.131147540983607","NA|1"
"med NA:NA high:NA NA",9.91726765908996,14.2100166668439,9.36546764573309,"NA|1","med med:NA high:NA NA_med low:NA high:NA NA_med high:NA high:NA NA|0.6875, 0.15, 0.1625","low high:med NA:NA NA_med high:med NA:NA NA_med NA:high high:NA NA_med NA:med high:NA NA|0.45, 0.1375, 0.3125, 0.1","NA|1","low NA:med NA:NA high_med NA:high NA:NA high_med NA:med NA:NA high|0.425, 0.475, 0.1","med NA:NA med:NA high_med NA:NA high:NA low_med NA:NA low:NA high_med NA:NA high:NA high|0.7125, 0.0625, 0.1125, 0.1125"
"low high:med NA:NA NA",7.1611373378213,10.9514963882866,9.28987686787679,"NA|1","NA|1","NA|1","low high:med med:NA NA_low high:med high:NA NA_low high:med low:NA NA|0.648648648648649, 0.243243243243243, 0.108108108108108","low NA:low high:med NA_low high:med NA:med NA_low high:low NA:med NA_low high:med NA:high NA|0.378378378378378, 0.108108108108108, 0.108108108108108, 0.405405405405405","low high:med NA:NA med_low high:med NA:NA low_low high:med NA:NA high|0.702702702702703, 0.135135135135135, 0.162162162162162"
"NA med:NA NA:NA NA",9.67077742358897,10.0353340896264,10.1094001585842,"med med:NA NA:NA NA_high med:NA NA:NA NA_low med:NA NA:NA NA|0.195071868583162, 0.392197125256673, 0.412731006160164","NA|1","low NA:NA med:NA NA_high NA:NA med:NA NA_med NA:NA med:NA NA|0.398357289527721, 0.404517453798768, 0.197125256673511","NA med:NA med:NA NA_NA med:NA high:NA NA_NA low:NA med:NA NA_NA med:NA low:NA NA|0.513347022587269, 0.254620123203285, 0.121149897330595, 0.11088295687885","low NA:NA med:NA NA_high NA:NA med:NA NA_med NA:NA med:NA NA|0.390143737166324, 0.392197125256673, 0.217659137577002","NA med:NA high:NA NA_NA med:NA med:NA NA_NA med:NA low:NA NA_NA low:NA med:NA NA|0.217659137577002, 0.601642710472279, 0.0903490759753593, 0.0903490759753593"
"low NA:NA med:NA NA",3.89525292983735,11.4445367975252,10.9814922301902,"NA|1","low med:NA med:NA NA_low low:NA med:NA NA_low high:NA med:NA NA|0.684491978609626, 0.149732620320856, 0.165775401069519","low NA:med med:NA NA_low NA:high med:NA NA_low NA:low med:NA NA_low med:low NA:NA NA|0.245989304812834, 0.502673796791444, 0.131016042780749, 0.120320855614973","NA|1","low NA:med NA:NA med_low NA:low NA:NA med_low NA:high NA:NA med|0.254010695187166, 0.280748663101604, 0.46524064171123","low NA:NA med:NA high_low NA:NA low:NA med_low NA:NA med:NA low_low NA:NA med:NA med|0.267379679144385, 0.131016042780749, 0.131016042780749, 0.470588235294118"
"low med:NA med:NA NA",3.62569857712064,11.2374144620535,9.99568670315253,"NA|1","NA|1","low med:med med:NA NA_low med:high med:NA NA_low med:low med:NA NA|0.252707581227437, 0.494584837545126, 0.252707581227437","NA|1","low med:low NA:NA med_low med:med NA:NA med_low med:high NA:NA med_low NA:low med:NA med|0.209386281588448, 0.23826714801444, 0.40072202166065, 0.151624548736462","low med:NA med:NA high_low med:NA med:NA low_low med:NA low:NA med_low med:NA med:NA med|0.277978339350181, 0.144404332129964, 0.129963898916967, 0.447653429602888"
"low med:low NA:NA med",2.5587903963025,5.41277037606048,11.7135576372327,"NA|1","NA|1","NA|1","low med:low high:NA med_low med:low med:NA med_low med:low low:NA med|0.181818181818182, 0.646464646464647, 0.171717171717172","low med:low NA:med med_low med:low med:low NA_low med:low NA:high med_low med:low NA:low med|0.292929292929293, 0.131313131313131, 0.494949494949495, 0.0808080808080808","NA|1"
