"","timestep","trial","opt1","opt2","feature","obs"
"1",1,1,2,3,1,1.90450220031275
"2",1,2,2,3,2,0.787413543708529
"3",1,3,1,2,1,-1.45230588846647
"4",1,4,1,2,2,1.07913998057099
"5",1,5,1,2,1,-0.929111316453098
"6",1,6,2,3,1,1.83188679690762
"7",1,7,1,2,2,0.822852423583383
"8",1,8,1,3,1,-0.473422258133673
"9",1,9,1,3,2,-0.739908873689231
"10",1,10,2,3,1,0.822221650206524
"11",2,1,2,3,2,-1.48603048368737
"12",2,2,1,2,1,-0.679564047370232
"13",2,3,2,3,2,-0.0627701161561981
"14",2,4,1,3,1,0.339060814891328
"15",2,5,2,3,2,-0.0231924459670868
"16",2,6,1,3,1,0.127354373749423
"17",2,7,1,3,1,-0.665417993622493
"18",2,8,2,3,2,-0.614622371175042
"19",2,9,2,3,2,0.0171409671837337
"20",2,10,1,2,2,0.945797746715023
"21",3,1,1,3,1,0.617463804769288
"22",3,2,1,2,2,1.81289767565293
"23",3,3,2,3,1,0.727407978812586
"24",3,4,1,3,2,0.341186469697999
"25",3,5,1,3,1,-0.617103568183132
"26",3,6,1,2,2,1.4957306425221
"27",3,7,1,3,2,0.640943584975671
"28",3,8,2,3,1,-0.223568529197143
"29",3,9,2,3,1,0.872594583918115
"30",3,10,1,3,1,-1.39555867582494
"31",4,2,2,3,1,0.169453951357603
"32",4,3,1,3,2,0.311851210080605
"33",4,4,1,2,1,-1.64907223310002
"34",4,5,1,2,2,1.00865472678699
"35",4,6,1,2,1,-1.29314885186952
"36",4,7,2,3,1,-0.602131109683495
"37",4,8,1,3,2,0.544523452782976
"38",4,9,1,2,1,-1.37311732336395
"39",4,10,2,3,2,-0.280455944319647
"40",5,3,1,2,2,1.99636733587525
"41",5,5,2,3,1,0.000467831974696492
"42",5,6,1,3,2,-0.211254581006998
"43",5,7,1,3,2,0.556488790304842
"44",5,8,1,3,1,-0.554426257848743
"45",5,9,2,3,2,-0.0914600395069138
"46",5,10,2,3,2,-0.472395595809758
"47",6,2,1,3,1,-0.431720770671582
"48",6,3,1,2,1,-1.30042098485471
"49",6,4,1,2,2,1.43586130499628
"50",6,5,1,3,2,1.80665807117447
"51",6,6,1,2,2,0.433405537742765
"52",6,7,1,3,1,-0.684280603036362
"53",6,8,1,3,2,0.634160463587935
"54",6,9,2,3,1,1.20776810154617
"55",6,10,2,3,2,-0.143447907520803
"56",7,2,1,2,2,0.890939270008911
"57",7,3,1,2,2,0.939376961954028
"58",7,4,1,2,2,1.47979656850593
"59",7,5,1,2,2,0.372708923348013
"60",7,6,2,3,2,-0.464921349944744
"61",7,7,1,3,2,0.450960924823463
"62",7,8,1,3,2,0.836848784060019
"63",7,10,1,2,1,-0.660945578174659
