"","timestep","trial","opt1","opt2","feature","obs"
"1",1,1,1,2,1,-0.29549779968725
"2",1,2,1,2,2,1.58741354370853
"3",1,3,1,3,2,0.0476941115335278
"4",1,4,1,3,2,0.279139980570985
"5",1,5,1,3,2,0.870888683546902
"6",1,6,1,3,2,0.831886796907625
"7",1,7,1,3,1,-0.977147576416617
"8",1,8,1,2,2,1.02657774186633
"9",1,9,1,3,1,-1.13990887368923
"10",1,10,1,2,1,-0.377778349793476
"11",2,1,2,3,2,-1.48603048368737
"12",2,2,1,3,1,-0.479564047370232
"13",2,3,1,2,2,1.4372298838438
"14",2,4,1,2,2,1.53906081489133
"15",2,5,1,2,1,-0.823192445967087
"16",2,6,1,2,1,-1.07264562625058
"17",2,7,2,3,2,0.334582006377507
"18",2,8,1,3,1,-0.614622371175042
"19",2,9,2,3,2,0.0171409671837337
"20",2,10,2,3,2,-0.254202253284976
"21",3,1,2,3,1,1.61746380476929
"22",3,2,1,3,2,2.01289767565293
"23",3,3,1,3,1,-0.272592021187414
"24",3,4,1,3,1,-0.0588135303020014
"25",3,5,1,2,2,1.18289643181687
"26",3,6,1,2,2,1.4957306425221
"27",3,7,2,3,1,-0.359056415024329
"28",3,8,1,3,2,-0.223568529197143
"29",3,9,2,3,1,0.872594583918115
"30",3,10,2,3,1,-0.395558675824938
"31",4,2,1,2,1,-1.0305460486424
"32",4,3,1,3,2,0.311851210080605
"33",4,4,2,3,1,0.15092776689998
"34",4,5,1,3,1,-0.791345273213006
"35",4,6,1,3,1,-0.0931488518695153
"36",4,7,1,2,2,0.197868890316505
"37",4,8,2,3,1,0.544523452782976
"38",4,10,1,2,2,0.919544055680353
"39",5,1,1,2,2,0.696070390920432
"40",5,2,1,2,2,0.268924642202091
"41",5,3,1,3,1,0.496367335875255
"42",5,4,1,3,1,-0.922487464257841
"43",5,5,1,3,2,0.600467831974697
"44",5,6,1,2,1,-1.411254581007
"45",5,7,2,3,1,-0.443511209695158
"46",5,8,2,3,2,-0.554426257848743
"47",5,9,1,2,2,1.70853996049309
"48",5,10,1,3,1,-1.07239559580976
"49",6,2,1,2,1,-0.631720770671582
"50",6,3,1,2,1,-1.30042098485471
"51",6,4,1,3,2,0.635861304996283
"52",6,5,1,3,1,0.206658071174471
"53",6,6,1,2,2,0.433405537742765
"54",6,7,2,3,2,0.315719396963638
"55",6,8,1,3,2,0.634160463587935
"56",6,9,1,2,1,-0.592231898453833
"57",6,10,1,3,1,-0.743447907520803
"58",7,2,1,2,1,-1.10906072999109
"59",7,3,1,2,1,-1.06062303804597
"60",7,4,1,3,2,0.679796568505933
"61",7,5,1,2,2,0.372708923348013
"62",7,6,1,2,1,-0.664921349944744
"63",7,7,2,3,2,-0.549039075176537
"64",7,8,2,3,1,0.836848784060019
"65",7,9,1,3,2,0.533105521894784
"66",7,10,1,3,2,1.13905442182534
