"","timestep","trial","opt1","opt2","feature","obs"
"1",1,2,1,3,1,-0.212586456291471
"2",1,3,1,2,1,-1.45230588846647
"3",1,4,2,3,1,0.879139980570985
"4",1,5,1,3,1,-0.729111316453098
"5",1,6,2,3,1,1.83188679690762
"6",1,7,1,3,2,1.02285242358338
"7",1,8,1,2,2,1.02657774186633
"8",1,9,1,3,2,-0.739908873689231
"9",1,10,2,3,2,0.422221650206524
"10",2,2,2,3,2,0.520435952629768
"11",2,3,2,3,2,-0.0627701161561981
"12",2,4,1,2,1,-0.460939185108672
"13",2,5,2,3,2,-0.0231924459670868
"14",2,6,1,2,1,-1.07264562625058
"15",2,7,2,3,2,0.334582006377507
"16",2,8,1,3,1,-0.614622371175042
"17",2,9,2,3,1,1.61714096718373
"18",2,10,1,2,1,-1.05420225328498
"19",3,1,1,2,2,1.41746380476929
"20",3,2,1,3,2,2.01289767565293
"21",3,3,1,3,1,-0.272592021187414
"22",3,4,1,2,2,1.141186469698
"23",3,5,2,3,1,0.382896431816868
"24",3,6,1,2,2,1.4957306425221
"25",3,7,1,2,1,-1.55905641502433
"26",3,8,1,3,2,-0.223568529197143
"27",3,10,2,3,1,-0.395558675824938
"28",4,1,1,3,2,0.783210997840923
"29",4,2,1,2,1,-1.0305460486424
"30",4,3,1,2,2,0.811851210080605
"31",4,4,1,3,2,-0.44907223310002
"32",4,5,1,3,2,0.808654726786994
"33",4,6,1,3,2,-0.0931488518695153
"34",4,7,2,3,1,-0.602131109683495
"35",4,8,2,3,1,0.544523452782976
"36",4,9,1,2,1,-1.37311732336395
"37",4,10,1,3,2,0.719544055680353
"38",5,2,1,2,2,0.268924642202091
"39",5,3,2,3,1,1.49636733587525
"40",5,4,1,3,1,-0.922487464257841
"41",5,5,1,2,1,-1.1995321680253
"42",5,6,1,3,1,-0.211254581006998
"43",5,7,2,3,1,-0.443511209695158
"44",5,8,2,3,1,0.445573742151257
"45",5,9,2,3,2,-0.0914600395069138
"46",5,10,2,3,1,-0.0723955958097583
"47",6,2,1,2,1,-0.631720770671582
"48",6,3,1,2,2,0.699579015145288
"49",6,4,2,3,2,-0.364138695003717
"50",6,5,1,2,2,2.00665807117447
"51",6,6,1,2,2,0.433405537742765
"52",6,7,2,3,2,0.315719396963638
"53",6,8,2,3,2,-0.365839536412065
"54",6,10,2,3,2,-0.143447907520803
"55",7,2,2,3,1,0.0909392700089109
"56",7,4,2,3,2,-0.320203431494067
"57",7,5,1,2,2,0.372708923348013
"58",7,6,2,3,1,1.53507865005526
"59",7,7,2,3,2,-0.549039075176537
"60",7,8,2,3,2,-0.163151215939981
"61",7,9,2,3,2,-0.466894478105216
"62",7,10,2,3,1,0.539054421825341
