"","timestep","trial","opt1","opt2","feature","obs"
"1",1,1,1,2,1,-0.91191524437149
"2",1,2,1,3,2,1.18490833198387
"3",1,3,1,2,1,0.279094305087241
"4",1,4,1,2,2,1.71851648282269
"5",1,5,1,2,1,-0.805900821706543
"6",1,6,1,3,2,-0.729277760723021
"7",1,7,1,2,2,0.638857801658404
"8",1,8,1,3,1,-0.450104280696058
"9",1,9,1,2,1,-0.937939552386155
"10",1,10,1,3,2,1.62139613818415
"11",2,1,1,3,1,-0.178044073295431
"12",2,2,1,2,2,0.95777950827744
"13",2,3,1,3,1,0.0832672831088701
"14",2,4,1,3,2,0.187862096927785
"15",2,5,1,3,1,-0.791880653717556
"16",2,6,2,3,1,0.862554524774981
"17",2,7,1,3,1,-1.37144816514356
"18",2,8,2,3,2,-1.29746209667547
"19",2,9,2,3,2,-0.884786181897266
"20",2,10,1,2,1,-1.23376152504877
"21",3,2,1,2,1,-1.14532912929289
"22",3,3,1,3,2,0.438162871238216
"23",3,4,1,3,1,1.0254077849386
"24",3,5,2,3,2,-0.227079237683422
"25",3,6,1,2,2,0.811049086839537
"26",3,7,2,3,2,-0.319593744857941
"27",3,8,1,2,2,1.59174363987615
"28",3,9,2,3,1,1.46160767933673
"29",3,10,1,2,2,0.0656641586210018
"30",4,2,2,3,1,-0.300989056293503
"31",4,3,1,2,2,0.42163551343553
"32",4,4,2,3,1,0.412457064891503
"33",4,5,1,2,2,0.313259056263904
"34",4,6,1,3,1,-0.363979964651423
"35",4,7,2,3,1,0.194044853851639
"36",4,8,1,3,2,0.331349591167192
"37",4,9,1,2,2,1.08154842947477
"38",4,10,1,3,1,-0.069984869485624
"39",5,2,2,3,2,0.874146426468775
"40",5,3,1,2,1,-1.78455243286952
"41",5,4,1,3,2,0.154955225458421
"42",5,5,2,3,1,1.72893431199962
"43",5,6,2,3,2,-0.543322048992202
"44",5,7,2,3,1,0.0706871704765563
"45",5,8,1,3,1,-0.0175018234174907
"46",5,9,1,2,2,0.614902242548733
"47",5,10,1,2,1,-1.42722920713853
"48",6,2,1,2,2,-0.135918850889966
"49",6,3,1,2,2,0.719315199814021
"50",6,5,2,3,2,0.530614173272947
"51",6,6,2,3,1,0.943903460770303
"52",6,7,2,3,2,0.054776796331362
"53",6,8,1,3,2,0.345404939255303
"54",6,9,1,2,1,-1.12310305104721
"55",6,10,2,3,2,0.280747076564
"56",7,2,2,3,1,0.652610250050371
"57",7,3,1,2,1,-0.703354545397975
"58",7,4,1,3,2,0.932136708447824
"59",7,6,2,3,2,-1.19060858113196
"60",7,7,2,3,1,0.553949597600738
"61",7,8,1,3,1,-1.13641245438508
"62",7,9,1,2,1,-0.486610386241638
"63",7,10,1,2,2,1.22009584644032
