"","trialID","a1","a2","b1","b2","c1","c2","timestep","last_observation","est_a1","est_a2","est_b1","est_b2","est_c1","est_c2","est_avalue","est_bvalue","est_cvalue","currentbest","evi","pchangemind"
"1",1,-1,0,0,-1,-1.2,-0.2,1,"priors",-0.0107776995106255,-0.0293732341671072,0.0257734541165643,0.00527698014205344,0.0151451637112677,0.00103250238784305,-0.0401509336777327,0.0310504342586177,0.0161776660991108,2,1.72883720359493,0.8265
"2",2,-1,0,0,-1,-0.2,-1.2,1,"priors",-0.00840000104663828,-0.0200169720962763,0.0194467939351686,-0.019077493242207,-0.0128082937550836,-0.0122327870299482,-0.0284169731429146,0.00036930069296161,-0.0250410807850318,2,1.17641608823428,0.6595
"3",3,-1,0,0,-1,-0.5,-0.5,1,"priors",0.00151884017777026,0.000122940274790307,0.00148153601736917,0.0011652900505945,-0.0428622645920533,-0.0168749945799978,0.00164178045256057,0.00264682606796367,-0.0597372591720511,2,1.14833697491606,0.668
"4",4,-1,0,0,-1,-0.8,-0.2,1,"priors",0.00812065435969368,-0.0133295666327215,-0.00364968955964901,-0.00234341929243697,-0.0100815307753542,-0.0128609330385151,-0.0052089122730278,-0.00599310885208598,-0.0229424638138693,1,1.17131995315145,0.6655
"5",5,-1,0,0,-1,-0.2,-0.8,1,"priors",-0.0126392742913482,-0.0370709911836665,-0.0192670443927947,0.0365663987290824,-0.0076663545628012,-0.0122380305075134,-0.0497102654750146,0.0172993543362877,-0.0199043850703146,2,1.18342005289152,0.653
"6",6,-1,0,0,-1,-1.2,-0.2,1,"priors",-0.0343694899274009,-0.0523165563487913,0.012178564341686,-0.0134638561193078,-0.0187952464264942,0.014016717716701,-0.0866860462761922,-0.00128529177762176,-0.0047785287097932,2,1.18420817651425,0.673
"7",7,-1,0,0,-1,-0.2,-1.2,1,"priors",0.0184302990424503,0.0050728445688628,-0.015503755195194,-0.0304392038914377,-0.00967837266859017,0.00770500668092083,0.0235031436113131,-0.0459429590866317,-0.00197336598766935,1,1.12701760115336,0.664
"8",8,-1,0,0,-1,-0.5,-0.5,1,"priors",0.0481689311413046,-0.0270879497034653,-0.0197900192707613,0.0149391475260235,-0.00126566358380883,-0.00430138046877438,0.0210809814378393,-0.0048508717447378,-0.00556704405258321,1,1.17192170154672,0.6475
"9",9,-1,0,0,-1,-0.8,-0.2,1,"priors",-0.00465870945397678,-0.00270965358080271,0.0313496936810235,0.0265644657910365,-0.0218452502025451,-0.00264824058340771,-0.0073683630347795,0.05791415947206,-0.0244934907859528,2,1.16310073351647,0.645
"10",10,-1,0,0,-1,-0.2,-0.8,1,"priors",0.0182983535758391,-0.00493757102726473,-0.0145449263055692,-0.017119990126016,0.0191401343004494,0.0238185318341375,0.0133607825485744,-0.0316649164315852,0.0429586661345869,3,1.16230677234147,0.6645
"11",1,-1,0,0,-1,-1.2,-0.2,2,"type:calc,option:3,feature:1,obs:-0.49549779968725",-0.00840709882450164,0.0245813802549126,-0.0142145755633502,0.0234548941146713,-0.391770656347889,-0.017112582058105,0.0161742814304109,0.0092403185513211,-0.408883238405994,1,1.36630266854539,0.788
"12",2,-1,0,0,-1,-0.2,-1.2,2,"type:ord,opt1:1,opt2:2,feature:1,obs:-0.412586456291471",-0.122223880130535,-0.0026266756144959,0.142504568236008,-0.00385868486889401,-0.00893558874427706,-0.0100873896227733,-0.124850555745031,0.138645883367114,-0.0190229783670504,2,0.956144505911882,0.6265
"13",3,-1,0,0,-1,-0.5,-0.5,2,"type:calc,option:2,feature:1,obs:-0.452305888466472",-0.0190840506043418,-0.0048685114096153,-0.369429276576935,-0.00351414219853944,0.00449635041590075,-0.047835923084925,-0.0239525620139571,-0.372943418775474,-0.0433395726690242,1,1.00197249948489,0.6265
"14",4,-1,0,0,-1,-0.8,-0.2,2,"type:ord,opt1:2,opt2:3,feature:2,obs:-0.720860019429015",-0.00379979726192657,-0.00595804858218401,0.0116271238743025,-0.262876255465928,-0.0209570331539212,0.218172990356296,-0.00975784584411058,-0.251249131591625,0.197215957202375,3,0.911572149397717,0.6065
"15",5,-1,0,0,-1,-0.2,-0.8,2,"type:ord,opt1:1,opt2:2,feature:2,obs:1.0708886835469",0.0212728102916902,0.343800730299409,-0.0432895980623346,-0.360021008754619,0.00507857507087044,0.0151110949304337,0.365073540591099,-0.403310606816954,0.0201896700013042,1,0.769406138438464,0.535
"16",6,-1,0,0,-1,-1.2,-0.2,2,"type:ord,opt1:1,opt2:2,feature:1,obs:-0.368113203092375",-0.133695565723442,-0.00764829910062454,0.111344926917657,-0.0180381290880548,0.00393886494443078,-0.0098264045907011,-0.141343864824067,0.0933067978296025,-0.00588753964627032,2,0.994975415183006,0.6305
"17",7,-1,0,0,-1,-0.2,-1.2,2,"type:ord,opt1:1,opt2:2,feature:2,obs:0.822852423583383",-0.00473910391914974,0.26934078665986,-0.0119209704352807,-0.270351530126578,-0.00942006982777052,-0.0103126483051579,0.264601682740711,-0.282272500561858,-0.0197327181329284,1,0.834275303072074,0.572
"18",8,-1,0,0,-1,-0.5,-0.5,2,"type:calc,option:3,feature:2,obs:-0.473422258133673",-5.08208329418049e-05,0.0124045324404442,-0.0103755308687502,0.0200535189009062,0.00338500125781494,-0.372701311992088,0.0123537116075024,0.00967798803215602,-0.369316310734273,1,0.996632911868804,0.616
"19",9,-1,0,0,-1,-0.8,-0.2,2,"type:ord,opt1:2,opt2:3,feature:2,obs:-1.73990887368923",0.0161837226364217,0.0155046157583843,0.0212504975456618,-0.615441876275182,-0.0210115342978406,0.553039267206091,0.031688338394806,-0.59419137872952,0.532027732908251,3,0.657086654282565,0.4925
"20",10,-1,0,0,-1,-0.2,-0.8,2,"type:calc,option:3,feature:1,obs:0.422221650206524",-0.00380703509882217,-0.0102045913466661,-0.0136534220581836,-0.0115805282941888,0.345877954485455,-0.0136587461529582,-0.0140116264454882,-0.0252339503523724,0.332219208332496,3,0.908673941404875,0.6005
"21",1,-1,0,0,-1,-1.2,-0.2,3,"type:calc,option:2,feature:1,obs:-0.686030483687373",0.0236159567497381,0.00917416418854113,-0.542253908976174,-0.0184029940764134,-0.404724994427787,0.00226739303169354,0.0327901209382792,-0.560656903052588,-0.402457601396094,1,1.26697326727803,0.7555
"22",2,-1,0,0,-1,-0.2,-1.2,3,"type:ord,opt1:2,opt2:3,feature:2,obs:0.520435952629768",-0.11424475407511,-0.0258153360538013,0.154093037757161,0.164058245720143,0.00748360790326576,-0.174961063890028,-0.140060090128912,0.318151283477304,-0.167477455986762,2,0.659153600864744,0.5595
"23",3,-1,0,0,-1,-0.5,-0.5,3,"type:ord,opt1:1,opt2:3,feature:1,obs:-0.0627701161561981",-0.0198349549438261,-0.0159014932791382,-0.357840477356331,-0.00727771793556779,0.0290676319200865,-0.000769667117276361,-0.0357364482229643,-0.365118195291898,0.0282979648028101,3,0.886417051109143,0.62
