"","timestep","trial","option","feature","obs"
"1",1,1,3,1,-0.49549779968725
"2",1,3,2,1,-0.452305888466472
"3",1,8,3,2,-0.473422258133673
"4",1,10,3,1,0.422221650206524
"5",2,1,2,1,-0.686030483687373
"6",2,8,2,2,-1.11462237117504
"7",2,9,1,2,0.817140967183734
"8",3,1,1,1,-0.582536195230712
"9",3,6,3,1,-0.704269357477901
"10",3,10,1,1,-1.59555867582494
"11",4,1,2,2,-0.416789002159077
"12",4,4,1,2,-0.64907223310002
"13",4,10,2,1,-0.0804559443196471
"14",5,1,3,2,-0.503929609079568
"15",5,4,2,1,-0.722487464257841
"16",5,7,2,1,-0.643511209695158
"17",5,9,3,2,0.508539960493086
"18",6,1,1,2,0.759541113071977
"19",6,8,1,2,0.134160463587935
"20",7,1,3,2,-0.29892263595182
"21",7,4,3,2,0.279796568505933
