"","trialID","a1","a2","b1","b2","c1","c2","timestep","last_observation","est_a1","est_a2","est_b1","est_b2","est_c1","est_c2","est_avalue","est_bvalue","est_cvalue","currentbest","evi","pchangemind"
"1",1,0,0,1,-1,-0.2,-0.2,1,"priors",-0.0107776995106255,-0.0293732341671072,0.0257734541165643,0.00527698014205344,0.0151451637112677,0.00103250238784305,-0.0401509336777327,0.0310504342586177,0.0161776660991108,2,1.72883720359493,0.8265
"2",2,0,0,1,-1,0.8,-1.2,1,"priors",-0.00840000104663828,-0.0200169720962763,0.0194467939351686,-0.019077493242207,-0.0128082937550836,-0.0122327870299482,-0.0284169731429146,0.00036930069296161,-0.0250410807850318,2,1.17641608823428,0.6595
"3",3,0,0,1,-1,0.5,-0.5,1,"priors",0.00151884017777026,0.000122940274790307,0.00148153601736917,0.0011652900505945,-0.0428622645920533,-0.0168749945799978,0.00164178045256057,0.00264682606796367,-0.0597372591720511,2,1.14833697491606,0.668
"4",4,0,0,1,-1,0.2,-0.2,1,"priors",0.00812065435969368,-0.0133295666327215,-0.00364968955964901,-0.00234341929243697,-0.0100815307753542,-0.0128609330385151,-0.0052089122730278,-0.00599310885208598,-0.0229424638138693,1,1.17131995315145,0.6655
"5",5,0,0,1,-1,0.8,-0.8,1,"priors",-0.0126392742913482,-0.0370709911836665,-0.0192670443927947,0.0365663987290824,-0.0076663545628012,-0.0122380305075134,-0.0497102654750146,0.0172993543362877,-0.0199043850703146,2,1.18342005289152,0.653
"6",6,0,0,1,-1,-0.2,-0.2,1,"priors",-0.0343694899274009,-0.0523165563487913,0.012178564341686,-0.0134638561193078,-0.0187952464264942,0.014016717716701,-0.0866860462761922,-0.00128529177762176,-0.0047785287097932,2,1.18420817651425,0.673
"7",7,0,0,1,-1,0.8,-1.2,1,"priors",0.0184302990424503,0.0050728445688628,-0.015503755195194,-0.0304392038914377,-0.00967837266859017,0.00770500668092083,0.0235031436113131,-0.0459429590866317,-0.00197336598766935,1,1.12701760115336,0.664
"8",8,0,0,1,-1,0.5,-0.5,1,"priors",0.0481689311413046,-0.0270879497034653,-0.0197900192707613,0.0149391475260235,-0.00126566358380883,-0.00430138046877438,0.0210809814378393,-0.0048508717447378,-0.00556704405258321,1,1.17192170154672,0.6475
"9",9,0,0,1,-1,0.2,-0.2,1,"priors",-0.00465870945397678,-0.00270965358080271,0.0313496936810235,0.0265644657910365,-0.0218452502025451,-0.00264824058340771,-0.0073683630347795,0.05791415947206,-0.0244934907859528,2,1.16310073351647,0.645
"10",10,0,0,1,-1,0.8,-0.8,1,"priors",0.0182983535758391,-0.00493757102726473,-0.0145449263055692,-0.017119990126016,0.0191401343004494,0.0238185318341375,0.0133607825485744,-0.0316649164315852,0.0429586661345869,3,1.16230677234147,0.6645
"11",1,0,0,1,-1,-0.2,-0.2,2,"type:calc,option:1,feature:1,obs:0.70450220031275",0.552918255250651,-0.0053507907214206,0.0220268102334742,-0.00358026279188952,0.0670140555498283,-0.032597783391149,0.54756746452923,0.0184465474415846,0.0344162721586794,1,1.26526595573967,0.7785
"12",2,0,0,1,-1,0.8,-1.2,2,"type:ord,opt1:1,opt2:3,feature:2,obs:1.78741354370853",0.0302076327689166,0.626733398337337,-0.0318560508290132,-0.00865792724753372,0.0100704366083179,-0.557122636312915,0.656941031106253,-0.0405139780765469,-0.547052199704597,1,0.601399531109593,0.456
"13",3,0,0,1,-1,0.5,-0.5,2,"type:calc,option:3,feature:2,obs:-0.952305888466472",-0.016484538429396,-0.02178349168767,0.0126457039341413,-0.00801939018295258,-0.0223261329078345,-0.761699080285788,-0.038268030117066,0.00462631375118874,-0.784025213193623,2,0.907033187952374,0.5725
"14",4,0,0,1,-1,0.2,-0.2,2,"type:ord,opt1:1,opt2:2,feature:2,obs:1.07913998057099",0.00308260786553443,0.336694120935466,-0.0144045577681836,-0.361926068690596,0.0174575840634702,-0.0020968522181239,0.339776728801,-0.376330626458779,0.0153607318453463,1,0.786428185080929,0.55
"15",5,0,0,1,-1,0.8,-0.8,2,"type:ord,opt1:2,opt2:3,feature:2,obs:-0.129111316453098",-0.0134741238303105,0.0133431229744708,-0.00490691026720253,-0.061190309426906,0.0301409890827221,0.0262529900728664,-0.000131000855839632,-0.0660972196941085,0.0563939791555885,3,1.02835833876471,0.651
"16",6,0,0,1,-1,-0.2,-0.2,2,"type:ord,opt1:1,opt2:3,feature:2,obs:0.831886796907625",-0.0243380523507036,0.294829729927321,-0.0443424970021219,0.00859857883750804,0.0710180302266253,-0.248857552375621,0.270491677576617,-0.0357439181646139,-0.177839522148996,1,0.87886647237476,0.6045
"17",7,0,0,1,-1,0.8,-1.2,2,"type:calc,option:3,feature:2,obs:-1.37714757641662",0.0111423775554731,-0.00375001725112307,0.00394630923757458,-0.0211440847392798,-0.0128952158993533,-1.10741081949993,0.00739236030435,-0.0171977755017052,-1.12030603539928,1,0.875150803940755,0.5505
"18",8,0,0,1,-1,0.5,-0.5,2,"type:ord,opt1:1,opt2:2,feature:2,obs:1.02657774186633",-0.0269550631675633,0.36490692166963,0.0258630137789578,-0.332766070708285,-0.0257156103618875,-0.0120520082297593,0.337951858502067,-0.306903056929327,-0.0377676185916467,1,0.771009775466979,0.547
"19",9,0,0,1,-1,0.2,-0.2,2,"type:ord,opt1:1,opt2:2,feature:2,obs:0.0600911263107693",-0.0364336007718012,0.0224970264901554,0.0270886199105479,-0.0104790756888836,0.0149112747809737,0.000250250169672925,-0.0139365742816458,0.0166095442216643,0.0151615249506466,2,1.09029047947608,0.685
"20",10,0,0,1,-1,0.8,-0.8,2,"type:ord,opt1:2,opt2:3,feature:1,obs:0.822221650206524",0.0038265393067452,0.000518133733241462,0.280640651859972,0.0251280015653875,-0.267055308377697,0.00681993263962912,0.00434467303998666,0.30576865342536,-0.260235375738068,2,0.842696872569034,0.5795
"21",1,0,0,1,-1,-0.2,-0.2,3,"type:calc,option:2,feature:2,obs:-1.68603048368737",0.567063220033151,-0.0296946992377115,-0.0223341797105783,-1.35174897233051,-0.00724047392720726,-0.0169472979179762,0.53736852079544,-1.37408315204109,-0.0241877718451835,1,1.0314125199451,0.7195
"22",2,0,0,1,-1,0.8,-1.2,3,"type:calc,option:1,feature:1,obs:0.320435952629768",0.242249213630288,0.58598113375281,-0.024979769051908,-0.0175303906970267,-0.0310152605314701,-0.589973900564208,0.828230347383097,-0.0425101597489347,-0.620989161095678,1,0.397689383102893,0.3875
"23",3,0,0,1,-1,0.5,-0.5,3,"type:ord,opt1:1,opt2:2,feature:2,obs:1.4372298838438",0.000266711716300349,0.479911951703814,0.00162183835450427,-0.48453559722845,-0.000546062683289717,-0.763079386054413,0.480178663420114,-0.482913758873946,-0.763625448737703,1,0.427342651305882,0.39
