"","timestep","trial","option","feature","obs"
"1",1,1,1,1,0.70450220031275
"2",1,3,3,2,-0.952305888466472
"3",1,7,3,2,-1.37714757641662
"4",2,1,2,2,-1.68603048368737
"5",2,2,1,1,0.320435952629768
"6",2,4,1,1,0.539060814891328
"7",2,9,3,1,1.01714096718373
"8",3,2,2,1,1.81289767565293
"9",3,4,3,1,0.341186469697999
"10",4,1,1,2,0.583210997840923
"11",4,8,3,2,-0.455476547217024
"12",4,9,3,2,-0.573117323363947
"13",4,10,1,2,-0.0804559443196471
"14",5,1,3,1,-0.503929609079568
"15",5,2,2,2,-1.73107535779791
"16",5,5,2,1,0.800467831974697
"17",5,9,2,1,1.70853996049309
"18",6,1,2,2,-0.240458886928023
"19",6,3,1,1,-0.300420984854712
"20",6,5,1,1,1.00665807117447
"21",6,9,1,1,0.407768101546167
"22",7,1,3,2,-0.29892263595182
"23",7,2,3,1,0.690939270008911
"24",7,3,1,2,-0.0606230380459716
"25",7,4,3,1,0.679796568505933
"26",7,5,1,2,-0.627291076651987
"27",7,9,2,1,1.33310552189478
