"","timestep","trial","opt1","opt2","feature","obs"
"1",1,2,1,3,2,1.78741354370853
"2",1,4,1,2,2,1.07913998057099
"3",1,5,2,3,2,-0.129111316453098
"4",1,6,1,3,2,0.831886796907625
"5",1,8,1,2,2,1.02657774186633
"6",1,9,1,2,2,0.0600911263107693
"7",1,10,2,3,1,0.822221650206524
"8",2,3,1,2,2,1.4372298838438
"9",2,5,1,2,2,1.17680755403291
"10",2,6,1,2,2,0.927354373749423
"11",2,7,1,2,1,-0.865417993622493
"12",2,8,1,2,1,-1.11462237117504
"13",2,10,1,2,1,-1.05420225328498
"14",3,1,1,3,2,0.617463804769288
"15",3,3,1,2,1,-0.772592021187414
"16",3,5,1,3,1,-0.617103568183132
"17",3,6,1,3,1,0.695730642522099
"18",3,7,1,2,2,0.440943584975671
"19",3,8,1,3,1,-1.22356852919714
"20",3,9,2,3,2,-0.727405416081885
"21",3,10,2,3,2,-0.795558675824938
"22",4,2,1,2,2,0.969453951357603
"23",4,3,2,3,1,0.311851210080605
"24",4,4,1,3,2,-0.44907223310002
"25",4,5,1,3,2,0.808654726786994
"26",4,6,1,3,1,-0.0931488518695153
"27",4,7,2,3,1,-0.602131109683495
"28",5,3,1,2,2,1.99636733587525
"29",5,4,1,3,2,-0.522487464257841
"30",5,6,1,2,1,-1.411254581007
"31",5,7,1,2,2,0.356488790304842
"32",5,8,2,3,1,0.445573742151257
"33",5,10,2,3,2,-0.472395595809758
"34",6,2,1,2,1,-0.631720770671582
"35",6,4,1,3,2,0.635861304996283
"36",6,6,2,3,1,0.633405537742765
"37",6,7,1,2,1,-0.884280603036362
"38",6,8,2,3,2,-0.365839536412065
"39",6,10,2,3,1,0.256552092479197
"40",7,6,1,2,2,1.33507865005526
"41",7,7,2,3,1,-0.549039075176537
"42",7,8,2,3,1,0.836848784060019
"43",7,10,2,3,1,0.539054421825341
