"","timestep","trial","option","feature","obs"
"1",1,1,2,2,0.70450220031275
"2",1,6,3,1,0.431886796907625
"3",1,10,2,2,0.622221650206524
"4",2,1,2,1,0.313969516312627
"5",2,3,2,1,1.4372298838438
"6",2,9,2,2,0.817140967183734
"7",3,1,2,1,1.41746380476929
"8",3,8,3,1,-0.223568529197143
"9",3,10,1,1,-0.595558675824938
"10",4,1,1,1,0.583210997840923
"11",4,3,2,2,-0.188148789919395
"12",4,6,1,1,-0.293148851869515
"13",4,8,2,2,0.044523452782976
"14",4,10,3,2,0.119544055680353
"15",5,1,2,2,-0.303929609079568
"16",5,5,2,2,-0.199532168025303
"17",5,6,2,1,0.588745418993002
"18",5,8,2,1,0.945573742151257
"19",6,1,1,2,1.75954111307198
"20",6,3,1,1,-0.300420984854712
"21",6,9,1,2,1.40776810154617
"22",7,1,1,1,-0.0989226359518203
"23",7,2,3,1,0.690939270008911
"24",7,3,1,2,0.939376961954028
"25",7,5,2,1,0.372708923348013
"26",7,8,1,2,1.33684878406002
"27",7,9,2,1,1.33310552189478
"28",7,10,1,2,1.33905442182534
