"","timestep","trial","opt1","opt2","feature","obs"
"1",1,2,2,3,2,0.184908331983866
"2",1,3,1,2,2,2.27909430508724
"3",1,4,2,3,1,1.51851648282269
"4",1,5,1,3,1,-0.605900821706543
"5",1,6,2,3,1,0.270722239276979
"6",1,7,1,2,2,0.638857801658404
"7",1,8,1,2,2,1.04989571930394
"8",1,9,1,3,1,-0.137939552386155
"9",1,10,2,3,2,0.621396138184155
"10",2,2,1,2,2,0.95777950827744
"11",2,3,1,3,1,0.0832672831088701
"12",2,4,1,2,2,0.987862096927785
"13",2,5,2,3,2,-0.191880653717555
"14",2,7,1,3,1,-1.37144816514356
"15",2,10,1,2,1,-1.23376152504877
"16",3,1,2,3,1,1.07069710672825
"17",3,2,1,3,1,-0.945329129292889
"18",3,3,1,3,2,0.438162871238216
"19",3,5,2,3,1,0.172920762316578
"20",3,6,2,3,2,-0.988950913160463
"21",3,7,2,3,1,-0.319593744857941
"22",3,8,1,2,1,-0.408256360123847
"23",3,9,2,3,2,-0.138392320663272
"24",3,10,2,3,1,-0.734335841378998
"25",4,2,1,3,2,0.699010943706497
"26",4,3,1,3,1,-1.07836448656447
"27",4,4,1,2,1,-1.3875429351085
"28",4,5,1,3,2,0.113259056263904
"29",4,6,2,3,2,-1.36397996465142
"30",4,7,1,3,2,1.19404485385164
"31",4,8,1,2,1,-1.16865040883281
"32",4,10,2,3,2,0.530015130514376
"33",5,1,1,2,2,0.881000719987354
"34",5,3,1,3,1,-1.28455243286952
"35",5,4,1,2,2,0.954955225458421
"36",5,5,2,3,2,1.32893431199962
"37",5,6,1,3,1,0.456677951007798
"38",5,7,2,3,2,0.0706871704765563
"39",5,8,1,2,2,1.48249817658251
"40",5,10,1,2,2,0.57277079286147
"41",6,1,2,3,2,-0.740921175065404
"42",6,3,1,3,2,0.219315199814021
"43",6,4,2,3,2,-0.469525426580288
"44",6,5,1,2,2,1.73061417327295
"45",6,6,1,3,2,-0.0560965392296974
"46",6,7,1,2,1,-1.14522320366864
"47",6,8,1,2,1,-1.1545950607447
"48",6,10,1,3,1,-0.319252923436
"49",7,1,1,3,2,0.250012957724392
"50",7,2,1,2,1,-0.547389749949629
"51",7,3,1,3,2,0.796645454602025
"52",7,5,1,2,1,-1.42483742699112
"53",7,6,2,3,1,0.809391418868041
"54",7,7,2,3,1,0.553949597600738
"55",7,8,1,2,2,0.36358754561492
"56",7,9,1,3,1,0.313389613758362
"57",7,10,1,2,2,1.22009584644032
