"","timestep","trial","option","feature","obs"
"1",1,1,2,2,0.0880847556285095
"2",2,6,1,1,-1.33744547522502
"3",2,7,2,2,-0.571448165143562
"4",3,1,2,1,-0.129302893271747
"5",3,6,3,2,0.611049086839537
"6",3,7,3,1,-0.719593744857941
"7",3,10,1,1,-1.934335841379
"8",4,1,3,1,-1.035730662495
"9",4,2,2,2,-0.500989056293503
"10",4,4,2,1,-0.387542935108497
"11",4,6,2,2,-0.563979964651423
"12",4,7,1,2,0.994044853851639
"13",5,1,2,1,-0.118999280012646
"14",5,7,3,2,-0.329312829523444
"15",6,1,2,2,0.0590788249345961
"16",6,10,3,1,0.280747076564
"17",7,1,2,2,0.0500129577243921
"18",7,10,2,2,0.220095846440319
