"","timestep","trial","opt1","opt2","feature","obs"
"1",1,2,1,3,2,1.18490833198387
"2",1,3,2,3,1,1.77909430508724
"3",1,4,1,2,2,1.71851648282269
"4",1,5,1,2,1,-0.805900821706543
"5",1,6,2,3,1,0.270722239276979
"6",1,7,1,2,1,-1.3611421983416
"7",1,8,2,3,2,-0.450104280696058
"8",1,9,1,2,2,1.06206044761384
"9",1,10,2,3,1,1.02139613818415
"10",2,1,1,2,1,-1.37804407329543
"11",2,2,1,2,1,-1.04222049172256
"12",2,3,1,2,2,1.58326728310887
"13",2,4,1,3,2,0.187862096927785
"14",2,5,2,3,2,-0.191880653717555
"15",2,8,1,3,1,-1.29746209667547
"16",2,9,1,3,2,0.115213818102734
"17",2,10,1,2,2,0.766238474951234
"18",3,2,1,2,2,0.854670870707111
"19",3,3,1,3,1,-0.561837128761784
"20",3,4,1,3,1,1.0254077849386
"21",3,5,2,3,1,0.172920762316578
"22",3,8,2,3,1,1.09174363987615
"23",3,9,1,3,1,0.461607679336728
"24",4,3,2,3,2,-1.07836448656447
"25",4,5,2,3,1,-0.486740943736096
"26",4,8,2,3,2,-0.668650408832808
"27",4,9,1,2,1,-0.918451570525235
"28",4,10,2,3,2,0.530015130514376
"29",5,2,1,3,1,-0.125853573531225
"30",5,3,1,2,1,-1.78455243286952
"31",5,4,1,3,2,0.154955225458421
"32",5,5,2,3,2,1.32893431199962
"33",5,6,1,3,2,0.456677951007798
"34",5,8,2,3,1,0.982498176582509
"35",5,9,1,2,1,-1.38509775745127
"36",5,10,1,2,1,-1.42722920713853
"37",6,2,1,2,1,-2.13591885088997
"38",6,3,1,2,2,0.719315199814021
"39",6,4,1,2,2,1.33047457341971
"40",6,5,1,2,2,1.73061417327295
"41",6,6,1,3,2,-0.0560965392296974
"42",6,7,1,2,1,-1.14522320366864
"43",6,8,1,2,2,0.845404939255303
"44",6,9,1,2,2,0.876896948952789
"45",7,2,2,3,1,0.652610250050371
"46",7,3,1,2,1,-0.703354545397975
"47",7,4,1,2,1,-0.267863291552176
"48",7,5,1,2,1,-1.42483742699112
"49",7,6,1,3,1,-0.190608581131959
"50",7,7,1,2,1,-0.646050402399262
"51",7,8,1,2,1,-1.63641245438508
"52",7,9,2,3,2,-0.286610386241638
