"","timestep","trial","opt1","opt2","feature","obs"
"1",1,2,1,2,1,-1.01509166801613
"2",1,3,2,3,1,1.77909430508724
"3",1,4,2,3,2,-0.0814835171773141
"4",1,5,1,2,2,1.19409917829346
"5",1,6,1,2,2,0.0707222392769793
"6",1,7,1,3,2,0.838857801658404
"7",1,8,2,3,2,-0.450104280696058
"8",2,3,1,2,2,1.58326728310887
"9",2,4,2,3,1,0.787862096927785
"10",2,5,1,3,1,-0.791880653717556
"11",2,6,2,3,1,0.862554524774981
"12",2,7,1,2,1,-1.57144816514356
"13",2,8,1,3,1,-1.29746209667547
"14",2,9,1,2,2,0.915213818102734
"15",2,10,2,3,1,-0.0337615250487661
"16",3,2,2,3,1,0.0546708707071107
"17",3,3,1,2,1,-1.06183712876178
"18",3,4,1,2,1,0.225407784938604
"19",3,5,1,3,2,0.772920762316578
"20",3,6,1,2,1,-1.18895091316046
"21",3,7,1,2,2,0.480406255142059
"22",3,8,2,3,1,1.09174363987615
"23",4,3,1,2,1,-1.57836448656447
"24",4,4,1,2,2,0.612457064891503
"25",4,5,1,2,1,-1.6867409437361
"26",4,6,2,3,2,-1.36397996465142
"27",4,7,2,3,1,0.194044853851639
"28",4,8,1,2,2,0.831349591167192
"29",4,9,1,3,2,0.281548429474765
"30",5,3,1,2,2,0.215447567130478
"31",5,4,1,2,1,-1.04504477454158
"32",5,5,2,3,2,1.32893431199962
"33",5,6,1,3,1,0.456677951007798
"34",5,7,2,3,2,0.0706871704765563
"35",5,8,1,2,1,-0.517501823417491
"36",5,9,1,3,1,-0.585097757451267
"37",5,10,2,3,1,-0.22722920713853
"38",6,2,1,2,2,-0.135918850889966
"39",6,4,1,2,2,1.33047457341971
"40",6,5,2,3,2,0.530614173272947
"41",6,6,2,3,2,-1.0560965392297
"42",6,7,2,3,1,0.054776796331362
"43",6,8,2,3,2,-0.654595060744697
"44",6,10,2,3,1,0.680747076564
"45",7,2,1,2,1,-0.547389749949629
"46",7,3,2,3,2,-0.203354545397975
"47",7,4,1,3,2,0.932136708447824
"48",7,5,2,3,1,-0.224837426991125
"49",7,6,2,3,1,0.809391418868041
"50",7,7,1,2,1,-0.646050402399262
"51",7,8,2,3,1,-0.13641245438508
"52",7,9,1,2,2,1.51338961375836
"53",7,10,2,3,1,0.420095846440319
